,幣別,現金買匯,現金賣匯,即期買匯,即期賣匯
0,美元 美元 USD ,27.3640,28.0410,27.67,27.83
1,日圓 日圓 JPY ,0.2375,0.2483,0.2412,0.2465
2,人民幣 人民幣 CNY ,4.1991,4.4421,4.3431,4.4051
3,港幣 港幣 HKD ,3.4360,3.6380,3.52,3.598
4,歐元 歐元 EUR ,30.6340,31.9370,31.096,31.616
5,澳幣 澳幣 AUD ,19.3480,20.2240,19.64,19.947
6,英鎊 英鎊 GBP ,35.4600,37.5500,36.32,36.94
7,加拿大幣 加拿大幣 CAD ,-,-,21.764,22.147
8,紐西蘭幣 紐西蘭幣 NZD ,-,-,18.624,19.004
9,南非幣 南非幣 ZAR ,-,-,1.699,1.819
10,新加坡幣 新加坡幣 SGD ,-,-,20.149,20.526
11,瑞士法郎 瑞士法郎 CHF ,-,-,29.787,30.306
12,瑞典幣 瑞典幣 SEK ,-,-,2.994,3.121
13,泰銖 泰銖 THB ,-,-,0.804,0.853
14,印尼盾 印尼盾 IDR ,-,-,0.0017,0.00216
15,印度盧比 印度盧比 INR ,-,-,0.337,0.4
16,馬來西亞幣 馬來西亞幣 MYR ,-,-,6.23,6.9
17,菲律賓披索 菲律賓披索 PHP ,-,-,0.5285,0.5726
18,越南盾 越南盾 VND ,-,-,0.001,0.0015
19,韓圜 韓圜 KRW ,-,-,0.0209,0.0264
